ByteBit,ByteBit_Description,Size,Type,Name,ID
13 [7],Reserved1,0 [1],T,Reserved (1 Bit),9903
14 [0],BCM - CBC_TCSM_1 - TcaseAWD_Stat,0 [2],T,LED Satus (OFF-ON-BLINK),179317
14 [2],BCM - CBC_TCSM_1 - Tcase4Lock_Stat,0 [2],T,LED Satus (OFF-ON-BLINK),179317
14 [4],BCM - CBC_TCSM_1 - Tcase4Low_Stat,0 [2],T,LED Satus (OFF-ON-BLINK),179317
14 [6],BCM - CBC_TCSM_1 - RrAxleLkIndRq,0 [2],T,LED Satus (OFF-ON-BLINK),179317
15 [0],BCM - CBC_TCSM_1 - CmdIgnStat_TCSM,0 [3],T,Commanded ignition switch status,179322
15 [3],BCM - CBC_TCSM_1 - DAY_LGT_MD_TCSM,0 [1],T,Night / Day,177026
15 [4],BCM - CBC_TCSM_1 - TcaseNtrlStat_TCSM,0 [2],T,LED Satus (OFF-ON-BLINK),179317
15 [6],BCM - CBC_TCSM_1 - Tcase2WD_Stat,0 [2],T,LED Satus (OFF-ON-BLINK),179317
16 [1],Reserved,0 [2],T,Reserved (2bit),177159
16 [3],BCM - CBC_TCSM_2 - Ft_RrAxleLkInd_Rq,0 [2],T,LED Satus (OFF-ON-BLINK),179317
16 [5],Reserved1,0 [2],T,Reserved (2bit),177159
16 [7],Reserved2,0 [1],T,Reserved (1 Bit),9903
17 [0],Reserved,1 [1],I,1 Byte Identical,18484
18 [0],BCM - MasterReq - MasterReqB0,1 [0],T,MasterReq (IBS3-TCSM),177075
19 [0],BCM - MasterReq - MasterReqB1,1 [0],T,MasterReq (IBS3-TCSM),177075
20 [0],BCM - MasterReq - MasterReqB2,1 [0],T,MasterReq (IBS3-TCSM),177075
21 [0],BCM - MasterReq - MasterReqB3,1 [0],T,MasterReq (IBS3-TCSM),177075
22 [0],BCM - MasterReq - MasterReqB4,1 [0],T,MasterReq (IBS3-TCSM),177075
23 [0],BCM - MasterReq - MasterReqB5,1 [0],T,MasterReq (IBS3-TCSM),177075
24 [0],BCM - MasterReq - MasterReqB6,1 [0],T,MasterReq (IBS3-TCSM),177075
25 [0],BCM - MasterReq - MasterReqB7,1 [0],T,MasterReq (IBS3-TCSM),177075
26 [0],IBS3 - IBS_Fast1 - SOF_V_StartRequest,0 [7],L,"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
26 [7],IBS3 - IBS_Fast1 - SOF_EngineRunning,0 [1],T,Charge / Discharge,177057
27 [0],IBS3 - IBS_Fast1 - IBS3_SOF_V_Accuracy,0 [1],T,Inaccurate / Accurate,177066
27 [1],IBS3 - IBS_Fast1 - Flag_Batt_Line_Open,0 [1],T,Close / Open,19020
27 [2],Reserved,0 [6],I,6 Bit Identical,10029
28 [0],IBS3 - IBS_Fast1 - IBS3_SOF_V,0 [7],L,"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
28 [7],IBS3 - IBS_Fast1 - VoltBattFailStatus,0 [1],T,Fail not present / Fail present,179305
29 [0],IBS3 - IBS_Fast1 - IBS3_SOF_VF,0 [7],L,"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
29 [7],IBS3 - IBS_Fast1 - CurrBattFailStatus,0 [1],T,Fail not present / Fail present,179305
30 [1],IBS3 - IBS_Fast1 - IBS3_SOF_VC,0 [7],L,"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
31 [0],IBS3 - IBS_Fast1 - IBS3_Vbatt,1 [1],L,"5 to 17.75 V (0.025, 5, 2) (9bit)",124905
32 [0],IBS3 - IBS_Fast1 - IBS3_Ibatt,2 [0],L,"-1000 to 310.68 A (0.02, -1000, 2)",124906
34 [0],IBS3 - IBS_Fast2 - IBS3_Rbatt_25,1 [0],L,"0 to 25.4 mOhm (0.1,0,1)",124895
35 [0],IBS3 - IBS_Fast2 - IBS3_Rbatt,1 [0],L,"0 to 25.4 mOhm (0.1,0,1)",124895
