ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
107210,_306_to_456_V_013062_LC76246,0 [4],0.1,3.06,Unsigned,2,V,3.06,4.56,$0 ,$0F,
107213,_500_to_2000_ms1005000_LC76318,0 [4],100,500,Unsigned,0,ms,500,2000,$0 ,$0F,
107219,_5_to_12_Wash_Cycles150_LC76322,0 [3],1,5,Unsigned,0,Wash Cycles,5,12,$0 ,$7 ,
107222,_0_to_100_100_LC76250,1 [0],1,0,Unsigned,0,%,0,100,$0 ,$64 ,
107234,_0_to_35_kmh_100_LC76282,0 [6],1,0,Unsigned,0,km/h,0,35,$0 ,$23 ,
107240,_0_to_5_100_LC76306,0 [3],1,0,Unsigned,0,-,0,5,$0 ,$5 ,
108779,"0 to 7 counts (1,0,0)",1 [0],1,0,Unsigned,0,counts,0,7,$0 ,$7 ,
108782,Vehicle Speed (2 Bytes),2 [0],1,0,Unsigned,0,counts,0,511,$0 ,$01FF,
109171,Interior Lighting (Lux),1 [0],20,0,Unsigned,0,LUX,0,5080,$0 ,$FE,
110446,_0_to_65534_km_100_LC9381,2 [0],1,0,Unsigned,0,Km,0,65534,$0 ,$FFFE,
110446,_0_to_65534_km_100_LC9381,2 [0],1,0,Unsigned,0,Km,0,65534,$FFFF,$FFFF,Invalid Signal
110449,_0_to_4000_Hours_100_LC9380,2 [0],1,0,Unsigned,0,Hours,0,4000,$0 ,$0FA0,
110449,_0_to_4000_Hours_100_LC9380,2 [0],1,0,Unsigned,0,Hours,0,4000,$0FFF,$0FFF,Invalid Signal
110452,_0_to_65534000_RPM_100000_LC9382,2 [0],1000,0,Unsigned,0,RPM,0,65534000,$0 ,$FFFE,
110452,_0_to_65534000_RPM_100000_LC9382,2 [0],1000,0,Unsigned,0,RPM,0,65534000,$FFFF,$FFFF,Invalid Signal
116333,Delay Time,1 [0],1,0.1,Unsigned,0,s,0,45,$0 ,$2D,
117712,Model_Year,1 [0],1,2000,Unsigned,0,Year,2000,2255,$0 ,$FF,
118333,0__255_LC15_LC62869,1 [0],1,0,Unsigned,0,-,0,255,$0 ,$FF,
118335,0__65535_LC16_LC62865,2 [0],1,0,Unsigned,0,-,0,65535,$0 ,$FFFF,
118712,ADC Battery voltage,2 [0],0.001,0,Unsigned,3,V,0.000,65.535,$0 ,$FFFF,
120901,_1_to_4_no_units_1_0_LC119186,0 [2],1,1,Unsigned,0,No Units,1,4,$0 ,$3 ,
121339,_Ambient_Temperature_CAN1_LC121336,1 [0],1,-85,Unsigned,1,degC,-85.0,170.0,$0 ,$FF,
124894,"0 to 100 % (1,0,0) (7bit)",0 [7],1,0,Unsigned,0,%,0,100,$0 ,$64 ,
124895,"0 to 25.4 mOhm (0.1,0,1)",1 [0],0.1,0,Unsigned,1,mOhms,0.0,25.4,$0 ,$FE,
124896,"0 to  4094 Days (1,0,0) (12bit)",1 [4],1,0,Unsigned,0,Days,0,4094,$0 ,$0FFE,
124897,"4 to 10.3 V (0.05, 4, 1)",0 [7],0.05,4,Unsigned,1,V,4.0,10.3,$0 ,$7E,
124898,"260 to 1500 A (20, 260, 0)",0 [6],20,260,Unsigned,0,A,260,1500,$0 ,$3E,
124899,"0 to 254 % (1,0,0)",1 [0],1,0,Unsigned,0,%,0,254,$0 ,$FE,
124899,"0 to 254 % (1,0,0)",1 [0],1,0,Unsigned,0,%,0,254,$FF,$FF,No Signal
124900,"6 to 18.7 V (6, 0.05, 0) ",1 [0],0.05,6,Unsigned,2,V,6.00,18.75,$0 ,$FF,
124901,-6.96 to 6.96,1 [0],0.08,-10.24,Unsigned,2,V,-6.96,6.96,$29 ,$D7,
124902,"-85 to 170 °C (0.5, -85, 0)",2 [0],0.5,-85,Unsigned,0,°C,-85,170,$0 ,$01FE,
124902,"-85 to 170 °C (0.5, -85, 0)",2 [0],0.5,-85,Unsigned,0,°C,-85,170,$01FF,$01FF,No Signal
124903,"5 to 11.3 V (0.05, 5, 1) (7bit)",0 [7],0.05,5,Unsigned,1,V,5.0,11.3,$0 ,$7E,
124905,"5 to 17.75 V (0.025, 5, 2) (9bit)",1 [1],0.025,5,Unsigned,2,V,5.00,17.75,$0 ,$01FE,
