ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
124947,"-40 to 85 °C (0.5, -40, 1)",1 [0],0.5,-40,Unsigned,1,°C,-40.0,85.0,$00,$FA,
124947,"-40 to 85 °C (0.5, -40, 1)",1 [0],,,,,,,,$FF,$FF,Invalid Signal
124948,"-85 to 170 °C (0.5, -85, 0) (9bit)",1 [1],0.5,-85,Unsigned,0,°C,-85,170,$0000,$01FE,
124948,"-85 to 170 °C (0.5, -85, 0) (9bit)",1 [1],,,,,,,,$01FF,$01FF,No Signal
124949,"0 to 2500 mA (10,0,0)",1 [0],10,0,Unsigned,0,mA,0,2500,$00,$FA,
124950,"- 250 to 0 mA (1, -250, 0)",1 [0],1,-250,Unsigned,0,mA,-250,0,$00,$FA,
124951,"1 to 120 Sec (1, 0, 0)",0 [7],1,0,Unsigned,0,Sec,1,120,$01,$78,
124951,"1 to 120 Sec (1, 0, 0)",0 [7],,,,,,,,$79,$7F,Invalid Signal
124952,"0 to 511.875 km/h (0.0625, 0, 3 (13bit)",1 [5],0.0625,0,Unsigned,3,km/h,0.000,511.875,$0000,$1FFE,
124953,"0 to 20 Sec (5, 0, 0)",0 [3],5,0,Unsigned,0,Sec,0,20,$00,$04,
124953,"0 to 20 Sec (5, 0, 0)",0 [3],,,,,,,,$05,$07,Invalid Signal
124954,"0 to 100 %( 1,0,0)",1 [0],1,0,Unsigned,0,%,0,100,$00,$64,
124955,"0 to 25.4 V (0.1,0,1)",1 [0],0.1,0,Unsigned,1,V,0.0,25.4,$00,$FE,
124956,"-250 to 0 mA (1,-250,0)",1 [0],1,-250,Unsigned,0,mA,-250,0,$00,$FA,
124957,"0 to 63 Battery Type (1,0,0)",0 [6],1,0,Unsigned,0,,0,63,$00,$3F,
124958,"999 to 9999 (1, 1, 0)",2 [0],,,Unsigned,,,,,$0000,$03E6,Invalid Signal
124958,"999 to 9999 (1, 1, 0)",2 [0],1,0,,0,,999,9999,$03E7,$270F,
124958,"999 to 9999 (1, 1, 0)",2 [0],,,,,,,,$2710,$FFFF,Invalid Signal
124959,"-40 to 85 °C (0.01, -40, 0 )",2 [0],0.01,-40,Unsigned,0,°C,-40,85,$0000,$30D4,
124959,"-40 to 85 °C (0.01, -40, 0 )",2 [0],,,,,,,,$FFFF,$FFFF,No Signal
126023,"0 to 255 Seconds (1,0,0)",1 [0],1,0,Unsigned,0,Seconds,0,255,$00,$FF,
126228,"0 to 3.5 (0.1, 1, 1)",0 [6],0.1,0,Unsigned,1,,0.0,3.5,$00,$23,
126229,"0 to 31 periods (0.1, 0, 1)",1 [1],0.1,0,Unsigned,1,,0.0,31.0,$0000,$0136,
126230,"0 to 150 Degrees (1, 0, 1)",1 [0],1,0,Unsigned,0,Degrees,0,150,$00,$96,
126231,"200 to 480 Degrees (1, 200, 0)",1 [1],1,200,Unsigned,0,Degrees,200,480,$0000,$0118,
126232,"0 to 3 Degrees (0.1, 0, 1)",0 [5],0.1,0,Unsigned,1,Degrees,0.0,3.0,$00,$1E,
126233,"0 to 375 Nm (1, 0, 1)",1 [1],1,0,Unsigned,0,Nm,0,375,$0000,$0177,
126234,"10 to 160 Degrees (10, 0, 0)",0 [5],10,0,Unsigned,0,Degrees,10,160,$01,$10,
126235,"0 to 1.5 m/s² (0.1, 0, 1)",0 [4],0.1,0,Unsigned,1,m/s²,0.0,1.5,$00,$0F,
126236,"0 to 7.5 (0.1, 0, 1)",0 [7],0.1,0,Unsigned,1,,0.0,7.5,$00,$4B,
126237,"0 to 15 readings (0.1, 0,1)",1 [0],0.1,0,Unsigned,1,,0.0,15.0,$00,$96,
127061,"40 to 1000 ms (20,0,0)",1 [0],20,0,Unsigned,0,ms,40,1000,$02,$32,
127062,"200  to 1000  ms (20,0,0)",1 [0],20,0,Unsigned,0,ms,200,1000,$0A,$32,
127063,Fuel Volt 0 to 5,1 [0],0.019607843,0,Unsigned,4,Volt,0.0000,5.0000,$00,$FF,
127064,"0 to 1000  ms (10,0,0)",1 [2],1,0,Unsigned,0,ms,0,1000,$0000,$03E8,
127065,"0 to 1000  ms (10,0,0) 1Byte",1 [0],10,0,Unsigned,0,ms,0,1000,$00,$64,
127206,"100 to 410 (10, 100, 0)",0 [5],10,100,Unsigned,0,,100,410,$00,$1F,
129039,MessageCounter,0 [4],1,0,Unsigned,0,,0,15,$00,$0F,
