ByteBit,ByteBit_Description,Size,Type,Name,ID
23 [0],BCM-MasterReq-MasterReqB4,1 [0],T,MasterReq (DBSM-IBS3_2),177123
24 [0],BCM-MasterReq-MasterReqB5,1 [0],T,MasterReq (DBSM-IBS3_2),177123
25 [0],BCM-MasterReq-MasterReqB6,1 [0],T,MasterReq (DBSM-IBS3_2),177123
26 [0],BCM-MasterReq-MasterReqB7,1 [0],T,MasterReq (DBSM-IBS3_2),177123
27 [0],DBSM2-DBSM2_A1-CRC_DBSM2_1,1 [0],I,HexDump (1Byte),165
28 [0],DBSM2-DBSM2_A1-M2SRes4Bit,0 [4],I,HexDump (4Bit),15589
28 [4],DBSM2-DBSM2_A1-MC_DBSM2_1,0 [4],L,Message Counter,104993
29 [0],DBSM2-DBSM2_A1-M2SResByte3,1 [0],I,HexDump (1Byte),165
30 [0],DBSM2-DBSM2_A1-M2SResByte2,1 [0],I,HexDump (1Byte),165
31 [0],DBSM2-DBSM2_A1-M2SResByte1,1 [0],I,HexDump (1Byte),165
32 [0],DBSM2-DBSM2_A1-BATTERY2_voltage,1 [0],L,"6 to 18.7 V (6, 0.05, 0) ",124900
33 [0],DBSM2-DBSM2_A1-BATTERY_voltage,1 [0],L,"6 to 18.7 V (6, 0.05, 0) ",124900
34 [0],DBSM2-DBSM2_A1-switch_status_OpenClose,0 [1],T,OPEN/CLOSE,179240
34 [1],DBSM2-DBSM2_A1-ESS_input_active,0 [1],T,ESS_NotActivated / ESS_Activated,179243
34 [2],DBSM2-DBSM2_A1-overtemp_detected,0 [1],T,Fail not present / Fail present,179305
34 [3],DBSM2-DBSM2_A1-DBSM2_internal_error,0 [1],T,No error / Error,179295
34 [4],DBSM2-DBSM2_A1-overcurrent_detected,0 [1],T,Fail not present / Fail present,179305
34 [5],DBSM2-DBSM2_A1-undervoltage_detected,0 [1],T,Fail not present / Fail present,179305
34 [6],DBSM2-DBSM2_A1-L2plus_ack,0 [1],T,No error / Error,179295
34 [7],DBSM2-DBSM2_A1-RsErr_DBSM2,0 [1],T,No error / Error,179295
35 [0],DBSM2-SlaveResp-SlaveRespB0,1 [0],T,SlaveResp_DBSM2,173724
36 [0],DBSM2-SlaveResp-SlaveRespB1,1 [0],T,SlaveResp_DBSM2,173724
37 [0],DBSM2-SlaveResp-SlaveRespB2,1 [0],T,SlaveResp_DBSM2,173724
38 [0],DBSM2-SlaveResp-SlaveRespB3,1 [0],T,SlaveResp_DBSM2,173724
39 [0],DBSM2-SlaveResp-SlaveRespB4,1 [0],T,SlaveResp_DBSM2,173724
40 [0],DBSM2-SlaveResp-SlaveRespB5,1 [0],T,SlaveResp_DBSM2,173724
41 [0],DBSM2-SlaveResp-SlaveRespB6,1 [0],T,SlaveResp_DBSM2,173724
42 [0],DBSM2-SlaveResp-SlaveRespB7,1 [0],T,SlaveResp_DBSM2,173724
43 [0],IBS3_2-IBS_Fast1_2- SOF_V_StartRequest_2,0 [7],L,"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
43 [7],IBS3_2-IBS_Fast1_2- SOF_EngineRunning_2,0 [1],T,Charge / Discharge,177057
44 [0],IBS3_2-IBS_Fast1_2-IBS3_SOF_V_Accuracy_2,0 [1],T,Inaccurate / Accurate,177066
